customer.id,store,sale.date,tran.number,sku,category,qty,unit.cost,ext.cost,unit.original.retail,sale.amount,customer.state,age,birthday.month,years.as.member,in.store.exp,selection
C40824,12,2023-02-25,11422,2930512,Footwear,1,25.11,25.11,114.0,75.0,MA,36,2,5,3 Neutral,5 Very Satisfied
C40824,12,2023-02-25,11422,2923970,Footwear,1,26.61,26.61,114.0,75.0,MA,36,2,5,3 Neutral,5 Very Satisfied
C40824,12,2023-02-25,11422,2918772,Footwear,1,36.93,36.93,168.0,75.0,MA,36,2,5,3 Neutral,5 Very Satisfied
C40824,12,2023-02-25,11422,2930511,Footwear,1,25.11,25.11,114.0,75.0,MA,36,2,5,3 Neutral,5 Very Satisfied
C40824,11,2023-06-08,71357,2939026,Accessories,1,11.29,11.29,48.0,33.59,MA,36,2,5,3 Neutral,5 Very Satisfied
C41262,12,2023-02-25,11425,2923969,Footwear,1,26.61,26.61,114.0,75.0,MA,33,8,3,4 Somewhat Satisfied,3 Neutral
C41746,12,2023-02-25,11435,2923877,Accessories,1,11.13,11.13,48.0,25.0,VT,27,11,2,4 Somewhat Satisfied,4 Somewhat Satisfied
C40443,12,2023-02-25,11436,2929419,Childrens,1,8.13,8.13,36.0,18.75,MA,27,2,2,Blank (missing data),Blank (missing data)
C40443,14,2023-05-19,51773,2936620,Accessories,1,11.33,11.33,48.0,48.0,MA,27,2,2,Blank (missing data),Blank (missing data)
C40443,12,2023-10-18,90347,2963655,Accessories,1,11.57,11.57,48.0,33.6,MA,27,2,2,Blank (missing data),Blank (missing data)
C40443,12,2023-12-02,93096,2964792,Men's Apparel,1,21.12,21.12,101.5,101.5,MA,27,2,2,Blank (missing data),Blank (missing data)
C42081,12,2023-02-25,11439,2929762,Women's Apparel,1,23.2,23.2,108.0,56.25,MA,46,7,0,4 Somewhat Satisfied,3 Neutral
C42081,14,2023-07-09,53646,2938828,Childrens,1,8.35,8.35,36.0,32.4,MA,46,7,0,4 Somewhat Satisfied,3 Neutral
C42081,13,2023-06-12,71034,2944700,Childrens,1,9.06,9.06,43.5,42.46,MA,46,7,0,4 Somewhat Satisfied,3 Neutral
C42081,11,2023-08-04,74221,2963374,Footwear,1,35.46,35.46,162.0,102.6,MA,46,7,0,4 Somewhat Satisfied,3 Neutral
C40959,12,2023-02-26,11499,2911921,Men's Apparel,1,21.54,21.54,94.5,34.97,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40959,11,2023-09-02,75716,2958800,Footwear,1,32.52,32.52,144.0,113.19,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40959,11,2023-10-15,77817,2958989,Footwear,1,36.63,36.63,144.0,144.0,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40953,12,2023-02-26,11511,2918717,Footwear,1,36.93,36.93,168.0,75.0,MA,28,7,1,Blank (missing data),Blank (missing data)
C40953,14,2023-01-27,48165,2933942,Footwear,1,37.68,37.68,162.0,121.5,MA,28,7,1,Blank (missing data),Blank (missing data)
C40953,14,2023-01-27,48165,2923857,Men's Apparel,1,22.24,22.24,94.5,70.88,MA,28,7,1,Blank (missing data),Blank (missing data)
C40953,12,2023-07-14,84877,2923858,Men's Apparel,1,22.24,22.24,94.5,94.5,MA,28,7,1,Blank (missing data),Blank (missing data)
C40500,12,2023-02-26,11516,2927260,Footwear,1,34.71,34.71,144.0,75.0,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40500,12,2023-02-26,11516,2923954,Footwear,1,42.69,42.69,174.0,75.0,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40500,12,2023-02-26,11516,2933902,Men's Apparel,1,24.13,24.13,105.0,43.75,MA,34,5,0,4 Somewhat Satisfied,5 Very Satisfied
C40320,12,2023-02-26,11517,2926645,Women's Apparel,1,26.14,26.14,108.0,56.25,MA,36,10,0,Blank (missing data),Blank (missing data)
C40320,11,2023-11-24,25392,2980679,Gifts & Lifestyle,1,7.88,7.88,48.0,24.0,MA,36,10,0,Blank (missing data),Blank (missing data)
C40320,11,2023-09-10,76115,2958557,Women's Apparel,1,24.39,24.39,108.0,68.04,MA,36,10,0,Blank (missing data),Blank (missing data)
